STATUS|CO_ORDERID|LOADID|CO_ITEM|SOURCE|S_CITY|S_STATE|DEST|D_CITY|D_STATE|SOURCE_PC|DEST_PC|SOURCE_GEO|DEST_GEO|NEEDARRIVDATE|SCHEDARRIVDATE|NEEDSHIPDATE|SCHEDSHIPDATE|QTY|SOURCING|RUN_DATE|CO_QTY|U_SALES_DOCUMENT|U_SHIP_CONDITION|PC_SOURCE|PC_DEST|DISTANCE|COST|VALUE|INITIAL_COST|P1|FIRMSW
1|3019658976000070||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-10|2016-03-10|2016-03-10|2016-03-10|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019658976000090||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-11|2016-03-11|2016-03-11|2016-03-11|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019658976000100||4055RUPLUS|USE1|ONTARIO|CA|4000266835|IRVINE|CA|91761|92606|917|926|2016-03-11|2016-03-11|2016-03-11|2016-03-11|570|ISS2MAXDISTSRC-5ZIP|2016-03-01|570|Z1AA|Z2|91761|92606|40|ISS2MAXDISTSRC-5ZIP_USE1->4000266835-202|0.0679|326|1|0
1|3019655379000010||4055RUPLUS|USE1|ONTARIO|CA|4000266924|ONTARIO|CA|91761|91761|917|917|2016-03-03|2016-03-03|2016-03-03|2016-03-03|570|ISS2MAXDISTSRC-3ZIP|2016-03-01|570|Z1AA|Z2|91761|91761|0|ISS2MAXDISTSRC-3ZIP_USE1->4000266924-202|0.1596|766|1|1
10|3019528362000010|3657005994000010|4055RUPLUS|USVS|TOOELE|UT|4000267037|FOUNTAIN VALLEY|CA|84074|92708|840|927|2016-02-16|2016-02-16|2016-02-16|2016-02-15|40|UNPLANNED|2016-03-01|40|Z1AA|Z1|84074|92708|100|||100|0|0
10|3019570158000010|3657059600000010|4055RUPLUS|USVS|TOOELE|UT|4000267037|FOUNTAIN VALLEY|CA|84074|92708|840|927|2016-02-23|2016-02-23|2016-02-23|2016-02-22|40|UNPLANNED|2016-03-01|40|Z1AA|Z1|84074|92708|100|||100|0|0
0|3019615092000010|3657115406000010|4055RUPLUS|USVS|TOOELE|UT|4000267037|FOUNTAIN VALLEY|CA|84074|92708|840|927|2016-03-01|2016-03-01|2016-03-01|2016-02-29|40|UNMET|2016-03-01|40|Z1AA|Z1|84074|92708|100|||100|0|0
1|3019659340000010||4055RUPLUS|UT2J|PICO RIVERA|CA|4000267037|FOUNTAIN VALLEY|CA|90660|92708|906|927|2016-03-08|2016-03-08|2016-03-08|2016-03-08|40|ISS2MAXDISTSRC-5ZIP|2016-03-01|40|Z1AA|Z1|90660|92708|35|ISS2MAXDISTSRC-5ZIP_UT2J->4000267037-202|0.0469|225|1|0
2|3019600714000010|3657097022000010|4055RUPLUS|UT44|SAINT LOUIS|MO|4000267084|HERMANN|MO|63114|65041|631|650|2016-03-02|2016-03-02|2016-03-02|2016-03-01|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|63114|65041|100|||100|1|0
2|3019600715000010|3657097015000010|4055RUPLUS|UT44|SAINT LOUIS|MO|4000267084|HERMANN|MO|63114|65041|631|650|2016-03-07|2016-03-07|2016-03-07|2016-03-06|570|ISS1EXCL|2016-03-01|570|Z1AA|Z1|63114|65041|100|ISS1EXCL_UT44->4000267084-202|10|100|1|0
2|3019600716000010|3657097019000010|4055RUPLUS|UT44|SAINT LOUIS|MO|4000267084|HERMANN|MO|63114|65041|631|650|2016-03-11|2016-03-11|2016-03-11|2016-03-10|570|ISS9DEL|2016-03-01|570|Z1AA|Z1|63114|65041|100|||100|1|0
9|3019584488000010|3657140933000010|4055RUPLUS|UT85|BLUE ISLAND|IL|4000267191|LA PORTE|IN|60406|46350|604|463|2016-03-01|2016-03-01|2016-03-01|2016-03-01|168|UNPLANNED|2016-03-01|168|Z1AA|Z2|60406|46350|62|||514|0|0
10|3019528170000020|3657005939000010|4055RUPLUS|USG8|HAMILTON|OH|4000267260|INDEPENDENCE|KY|45011|41051|450|410|2016-02-18|2016-02-18|2016-02-18|2016-02-17|570|UNPLANNED|2016-03-01|570|Z1AA|Z1|45011|41051|100|||100|0|0
10|3019569937000010|3657059535000010|4055RUPLUS|USG8|HAMILTON|OH|4000267260|INDEPENDENCE|KY|45011|41051|450|410|2016-02-23|2016-02-23|2016-02-23|2016-02-22|570|UNPLANNED|2016-03-01|570|Z1AA|Z1|45011|41051|100|||100|0|0
0|3019614828000010|3657115332000010|4055RUPLUS|USG8|HAMILTON|OH|4000267260|INDEPENDENCE|KY|45011|41051|450|410|2016-03-01|2016-03-01|2016-03-01|2016-02-29|570|UNMET|2016-03-01|570|Z1AA|Z1|45011|41051|100|||100|0|0
